x,y,z,density,r,g,b
-1.3509287,0.9638319,-1.5894428,54.81184,0.6299235,0.53271484,0.32124838
-1.3470186,0.9638319,-1.5894428,71.767914,0.5889282,0.5361328,0.3843994
-1.257087,0.9521017,-1.6168133,64.332344,0.5911458,0.4497274,0.26633707
-1.2531769,0.94819164,-1.6168133,90.017136,0.7026774,0.5988159,0.28700766
-1.2531769,0.9521017,-1.6168133,63.33496,0.59143066,0.5209554,0.45996094
-1.2258065,0.8074291,-1.6168133,64.83691,0.49080405,0.41597494,0.3297526
-1.2218964,0.8074291,-1.6168133,173.51256,0.5713298,0.49849448,0.295756
-1.2179863,0.8074291,-1.6168133,121.605385,0.5182292,0.4381714,0.3071289
-1.1593354,0.74486804,-1.8631476,50.39651,0.28833008,0.23188274,0.21977742
-1.1085044,0.8191594,-1.5229716,54.279175,0.39778647,0.3030192,0.2535604
-1.1593354,0.65102637,-1.3548387,86.568634,0.44441733,0.38415527,0.36912027
-1.0459433,0.93255126,-1.0694036,61.86781,0.5304362,0.47603354,0.39208984
-1.3939394,0.83479965,-0.56109476,147.83455,0.21980794,0.24208577,0.27657065
-1.030303,0.9521017,-0.58846533,52.097916,0.46350098,0.34370932,0.26133218
-1.030303,0.9521017,-0.58455527,100.421364,0.47546387,0.35235596,0.22854614
-1.4995112,0.84652984,1.2805474,56.551754,0.41845703,0.41202798,0.31825766
-1.2492669,0.93646145,1.3548387,110.2913,0.5381673,0.44864908,0.41227213
-1.4721408,0.9403715,1.5112414,56.773094,0.3935547,0.32434082,0.2745463
-1.4604106,0.6001955,1.7849462,58.575264,0.6442464,0.5992839,0.49202475
-1.1906159,0.9403715,1.5151515,63.831703,0.7080078,0.6669515,0.5007324
-1.2492669,1.3431085,-1.8005865,65.090675,0.47357178,0.28644815,0.15235901
-1.2492669,1.3431085,-1.7966764,400.28928,0.5142415,0.28967285,0.10913086
-1.2453568,1.3431085,-1.8005865,111.59138,0.5637207,0.37194824,0.18190002
-1.2453568,1.3431085,-1.7966764,659.9655,0.4908854,0.28782144,0.11276754
-1.2414467,1.3431085,-1.8005865,74.9189,0.45288086,0.31003824,0.19548543
-1.2414467,1.3431085,-1.7966764,244.69194,0.48791504,0.25978598,0.10887146
-1.2375367,1.3431085,-1.8005865,98.47904,0.3935547,0.25065103,0.15410359
-1.2375367,1.3431085,-1.7966764,76.09871,0.2636312,0.114461266,0.08024597
-1.198436,1.198436,-1.5112414,76.09871,0.23769124,0.1298879,0.10106913
-1.194526,1.4330401,-1.824047,72.330795,0.61413574,0.44291177,0.23555501
-1.143695,1.1867058,-1.9296187,53.22932,0.45410156,0.35732016,0.25222778
-1.143695,1.2101662,-1.655914,63.088043,0.5531413,0.38187662,0.19229126
-1.143695,1.2140763,-1.655914,112.02814,0.5716553,0.38812256,0.1937561
-1.1397849,1.2101662,-1.655914,100.421364,0.46936035,0.2969564,0.15241496
-1.1397849,1.2140763,-1.655914,143.84695,0.5357666,0.34543863,0.16229756
-1.0654936,1.3665689,-1.9921799,55.89291,0.47794595,0.37280273,0.22479248
-1.0615835,1.370479,-1.9921799,77.29709,0.5037028,0.36039224,0.17504883
-1.0576735,1.3665689,-1.9921799,58.804523,0.3086141,0.20593262,0.15057373
-1.0537634,1.3665689,-1.9921799,74.335884,0.23139445,0.19668579,0.16256714
-1.0537634,1.370479,-1.9921799,74.9189,0.31599936,0.28595987,0.27747598
-1.0498533,1.3665689,-1.9921799,52.60918,0.4360555,0.37858072,0.26037598
-1.0498533,1.370479,-1.9921799,51.79355,0.43347168,0.35080972,0.21987915
-1.0420332,1.0967742,-1.7067449,69.28866,0.48828125,0.25882974,0.12490845
-1.0068426,1.0967742,-1.9022483,56.773094,0.54048663,0.433431,0.19208781
-1.0029325,1.0967742,-1.9022483,61.62661,0.5069987,0.3492228,0.14652507
-1.4995112,1.4604106,-1.315738,73.46984,0.5570882,0.425944,0.17825317
-1.487781,1.3900293,-1.3665689,124.00384,0.6809082,0.5343831,0.21889241
-1.487781,1.3939394,-1.3665689,72.04881,0.5850423,0.4507141,0.21374004
-1.4721408,1.1202346,-1.2492669,52.404076,0.506958,0.3226522,0.1799825
-1.4682307,1.2766373,-1.4056696,58.575264,0.3955485,0.24155681,0.15536499
-1.4604106,1.2766373,-1.4056696,113.79232,0.6180827,0.42588297,0.18558757
-1.4330401,1.0420332,-0.9521017,72.898094,0.5678304,0.4293213,0.23628743
-1.4095798,1.4330401,-0.7956989,106.48123,0.41855875,0.22757976,0.09549967
-1.4095798,1.4330401,-0.7917888,143.28615,0.39204916,0.29526773,0.16846721
-1.4056696,1.4291301,-0.7917888,73.75739,0.55236816,0.453125,0.25750732
-1.4056696,1.4369502,-0.7956989,138.8777,0.5292155,0.3618978,0.14846802
-1.4017595,1.4369502,-0.7917888,70.93179,0.6414388,0.5835368,0.33532715
-1.198436,1.1319648,-0.9521017,59.26573,0.6561279,0.49617514,0.26415
-1.1671555,1.4604106,-0.66275656,62.842087,0.36301675,0.32619223,0.17559814
-1.1632454,1.4604106,-0.6666666,51.89481,0.41593423,0.3166504,0.17341106
-1.1632454,1.4604106,-0.66275656,193.56725,0.41477457,0.35335287,0.25865683
-1.1593354,1.2766373,-0.82306945,96.95226,0.39560953,0.39149985,0.31626382
-1.1554252,1.2766373,-0.82306945,53.437653,0.33072916,0.30889893,0.24245198
-1.1554252,1.2766373,-0.8191594,58.575264,0.53885907,0.399882,0.20928955
-1.1515151,1.3274682,-0.8739003,65.60118,0.44814047,0.26949564,0.11663818
-1.1397849,1.3274682,-0.8739003,53.962063,0.28083292,0.20041402,0.1166687
-1.1319648,1.3274682,-0.8739003,52.097916,0.46565756,0.2898763,0.13078308
-1.1202346,1.2766373,-0.82306945,65.85794,0.599528,0.5261434,0.29917398
-1.1163245,1.2766373,-0.82306945,70.65526,0.6315511,0.5303752,0.23012288
-1.1085044,1.2766373,-0.8152493,53.333385,0.5442505,0.517924,0.44348145
-1.0694036,1.0694036,-0.6783968,111.15633,0.41982016,0.24456787,0.123179115
-1.0694036,1.0694036,-0.67448676,67.419716,0.4919637,0.3329366,0.17322285
-1.0576735,1.2766373,-0.8191594,73.75739,0.6056722,0.5264079,0.3030192
-1.0224829,1.2766373,-0.8191594,52.712032,0.67997235,0.6246745,0.3318278
-1.4486804,1.0694036,0.49462366,88.621544,0.4319458,0.28212485,0.15711467
-1.4330401,1.0694036,0.2209189,218.4853,0.410319,0.25935873,0.094823204
-1.4291301,1.0694036,0.2209189,178.3225,0.4613037,0.3081665,0.119893394
-1.3079178,1.3939394,0.34995115,67.15687,0.4482015,0.27018228,0.14144897
-1.1202346,1.1319648,0.2209189,109.43301,0.42077637,0.20457967,0.1011556
-1.1202346,1.1358749,0.2209189,54.173264,0.22666423,0.14359538,0.11680094
-1.1202346,1.3822092,0.455523,462.53342,0.59110516,0.4202067,0.13917542
-1.1163245,1.1319648,0.2209189,66.89505,0.42944336,0.23334758,0.13716634
-1.1163245,1.3822092,0.455523,370.2071,0.56107587,0.4559733,0.16359966
-1.1124145,1.3822092,0.455523,137.25974,0.49572754,0.37882486,0.16786702
-1.1085044,1.3822092,0.455523,53.962063,0.5316569,0.32218423,0.19215901
-1.0850439,1.198436,0.28739,61.38635,0.6142171,0.45302328,0.29785156
-1.0029325,1.2023461,0.28739,59.034676,0.41019693,0.41137695,0.35559082
-1.4330401,1.030303,0.8739003,81.00665,0.42287192,0.30107626,0.19028728
-1.4017595,1.1085044,0.6783968,61.38635,0.42777506,0.31282553,0.21055095
